Unnamed: 0,driverId,year,DNF_rate,ref,constructor,constructorRef,position_delta,high_alt_sucess_rate,team_avg_position,dvt,finish_volatility,years_active,top10,avg_finish,races_entered,max_races_in_season,season_fraction,total_points,fv_terciles,dvt_terciles,logit_dnf,logit_top10,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,gmm_cluster,confidence
0,3,2014,0.1578947368421052,rosberg,131,mercedes,-0.8235294117647058,1.0,1.9210526315789471,-0.3166800966962127,2.952917740708502,0,0.9411764705882352,2.5294117647058822,19,19,1.0,317.0,Medium,low,-1.5505974124111674,2.4304184645039286,0.0135760700257423,2.016204030712524,97.97021328287016,6.6163916010427915e-06,1.6062098548438487e-22,2,97.97021328287016
1,18,2014,0.3157894736842105,button,1,mclaren,0.8333333333333339,0.5,8.710526315789474,0.1389728096676737,3.6704525909242065,0,0.7222222222222222,7.5,19,19,1.0,126.0,High,high,-0.7308875085427923,0.9007865453381894,99.67070603774101,0.0007218269896482627,0.12262536684554792,0.2059467684236126,2.164621807933438e-13,0,99.67070603774101
2,4,2014,0.1052631578947368,alonso,6,ferrari,1.1764705882352935,0.5,7.473684210526316,0.2758906379453189,1.8168759072330003,0,1.0,5.411764705882353,19,19,1.0,161.0,Low,high,-1.9459101490553137,3.6635616461296454,27.670832714630674,71.95634437636377,0.37282290900554566,1.158448350883506e-16,4.600948025854687e-50,1,71.95634437636377
3,822,2014,0.1052631578947368,bottas,3,williams,0.2777777777777777,0.5,6.157894736842105,0.0978157644824311,2.650413431528125,0,0.9444444444444444,5.555555555555555,19,19,1.0,186.0,Medium,high,-1.9459101490553137,2.472930458741284,63.61096432063798,8.459882006664825,27.92914738779683,6.284900316361542e-06,3.173458170230908e-29,0,63.61096432063798
4,807,2014,0.2105263157894736,hulkenberg,10,force_india,3.235294117647059,0.0,8.058823529411764,0.0437956204379561,2.2948716709566073,0,0.8823529411764706,7.705882352941177,19,19,1.0,96.0,Low,high,-1.2367626271489274,1.842425326674841,40.35295414171063,59.54194049928233,0.0013183719093340725,0.10378698709758705,7.183443485786057e-14,1,59.54194049928233
5,8,2014,0.3684210526315789,raikkonen,6,ferrari,-0.2777777777777768,0.5,7.473684210526316,-0.226525821596244,2.3392781412696997,0,0.7222222222222222,9.166666666666666,19,19,1.0,55.0,Low,low,-0.5108256237659907,0.9007865453381894,87.16254678953807,0.0060732673501703305,2.0266403151726036,10.803965683071162,0.0007739448680296296,0,87.16254678953807
6,818,2014,0.4736842105263157,vergne,5,toro_rosso,0.7857142857142865,0.0,11.088235294117649,0.053050397877984,2.1957751641342003,0,0.5,10.5,19,19,1.0,22.0,Low,high,-0.1000834585569828,0.0,97.49729249859745,6.771846329322933e-06,2.877260312137718e-05,2.5026260111410585,4.5945812039147114e-05,0,97.49729249859745
7,826,2014,0.6842105263157895,kvyat,5,toro_rosso,0.4285714285714288,0.5,11.088235294117649,-0.0435771125426297,2.094696899802168,0,0.3571428571428571,11.571428571428571,19,19,1.0,8.0,Low,medium,0.7308875085427926,-0.5568107370078144,52.03307468542544,3.2102695554299914e-08,2.1540682330729026e-06,47.59934615811305,0.36757697029061676,0,52.03307468542544
8,815,2014,0.5263157894736842,perez,10,force_india,3.2666666666666657,0.5,8.058823529411764,-0.1002433090024331,2.6549743668986507,0,0.8,8.866666666666667,19,19,1.0,59.0,Medium,low,0.1000834585569826,1.2950456896547458,36.64307771729122,0.39571387323049684,0.0006803276935952991,62.95919324761271,0.0013348341719652836,3,62.95919324761271
9,821,2014,0.9473684210526316,gutierrez,15,sauber,0.9230769230769234,0.5,14.666666666666666,-0.0279720279720279,1.979181589272093,0,0.0,15.076923076923077,19,19,1.0,0.0,Low,medium,2.5123056239761152,-3.6635616461296463,0.04129317266632463,1.0934225770278245e-17,7.586908809399788e-17,0.0496549323166676,99.90905189501699,4,99.90905189501699
10,820,2014,0.9375,chilton,206,marussia,3.384615384615387,0.0,15.964285714285714,-0.0118740320082602,1.9153691689213432,0,0.0,16.153846153846153,16,19,0.8421052631578947,0.0,Low,medium,2.3353749158170363,-3.49650756146648,12.206415230637257,2.2448460886977154e-14,3.629311486653474e-20,0.0008531605404079328,87.7927316088223,4,87.7927316088223
11,828,2014,0.9375,ericsson,207,caterham,3.18181818181818,0.0,16.642857142857142,-0.0323839250877878,2.724240738867581,0,0.0,17.181818181818183,16,19,0.8421052631578947,0.0,Medium,medium,2.3353749158170363,-3.49650756146648,8.336891731625803,2.2510887544354776e-15,1.7618824243170256e-18,0.0007757708822450144,91.66233249749199,4,91.66233249749199
12,20,2014,0.1578947368421052,vettel,9,red_bull,2.4375,0.5,4.444444444444445,-0.1390624999999999,1.7842628029525245,0,1.0,5.0625,19,19,1.0,167.0,Low,low,-1.5505974124111674,3.6635616461296454,0.013905143304620527,99.94414968688918,0.039234854977274906,0.0027103148289234044,1.600591359103807e-23,1,99.94414968688918
13,1,2014,0.1578947368421052,hamilton,131,mercedes,3.25,0.0,1.9210526315789471,0.2517123287671233,0.7043392293490404,0,1.0,1.4375,19,19,1.0,384.0,Low,high,-1.5505974124111674,3.6635616461296454,5.122715956610453e-09,99.99999996081677,3.406048651046995e-08,3.8953884210981144e-34,2.7128334857168354e-88,1,99.99999996081677
14,817,2014,0.1052631578947368,ricciardo,9,red_bull,2.6875,0.0,4.444444444444445,0.15625,1.9525624189766635,0,1.0,3.75,19,19,1.0,238.0,Low,high,-1.9459101490553137,3.6635616461296454,0.00017928384809309824,99.999641037017,0.00017967913489071337,2.7917690917888697e-15,5.547347705131312e-48,1,99.999641037017
15,827,2014,1.0,lotterer,207,caterham,1.0,0.3333333333333333,16.642857142857142,-0.0020833333333332,2.770102775666474,0,0.6,9.944444444444445,1,19,0.0526315789473684,0.0,High,high,1.0986122886681098,0.3865609534690117,54.1115128052744,7.310645138765785e-10,6.066056480335179e-08,37.63237108982367,8.256116043510312,0,54.1115128052744
16,16,2014,0.8947368421052632,sutil,15,sauber,-0.75,0.5,14.666666666666666,0.0,2.6874192494328497,0,0.0,14.666666666666666,19,19,1.0,0.0,Medium,medium,1.9459101490553132,-3.6635616461296463,0.027400067257515655,2.8427799016931184e-19,1.4727994480891013e-12,1.0351369128631316,98.9374630198779,4,98.9374630198779
17,813,2014,0.7894736842105263,maldonado,208,lotus_f1,4.384615384615385,1.0,13.0,-0.0532544378698224,2.3331924443235543,0,0.0769230769230769,13.692307692307692,19,19,1.0,2.0,Low,low,1.2367626271489272,-2.218777135721954,9.538268012702599e-05,2.525664647580129e-10,1.1136218284308815e-18,0.4033177138693676,99.59658690319799,4,99.59658690319799
18,155,2014,0.9375,kobayashi,207,caterham,3.444444444444443,0.0,16.642857142857142,0.0519790176442536,1.9309052441091965,0,0.0,15.77777777777778,16,19,0.8421052631578947,0.0,Low,high,2.3353749158170363,-3.49650756146648,8.703173724233274,3.1435264279871858e-15,2.144294375654535e-21,0.0008370873858054451,91.29598918838091,4,91.29598918838091
19,829,2014,1.0,stevens,207,caterham,0.0,0.3333333333333333,16.642857142857142,-0.0214592274678111,0.0,0,0.0,17.0,1,19,0.0526315789473684,0.0,Low,medium,1.0986122886681098,-1.0986122886681098,99.87010237279245,1.5144596292149145e-13,2.0726181741354752e-14,0.05162669126901095,0.07827093593842743,0,99.87010237279245
20,1,2015,0.0526315789473684,hamilton,131,mercedes,-0.3333333333333335,0.0,2.3947368421052633,0.2808302808302808,1.1928283640879938,1,1.0,1.7222222222222223,19,19,1.0,381.0,Low,high,-2.5123056239761152,3.6635616461296454,1.947166075512309e-07,99.99857768032689,0.0014221249565099495,3.5036654855995495e-36,1.989156398986554e-90,1,99.99857768032689
21,3,2015,0.1052631578947368,rosberg,131,mercedes,-0.9444444444444442,1.0,2.3947368421052633,-0.2759462759462758,3.748662312852742,1,0.9444444444444444,3.0555555555555554,19,19,1.0,322.0,High,low,-1.9459101490553137,2.472930458741284,0.16814498660908794,0.4818451809384348,99.3500091551564,6.772960023693654e-07,3.0657664036319514e-19,2,99.3500091551564
