PC1,PC2,PC3,PC4,PC5
-2.6988692633611895,0.8318578727977435,-2.357658925251367,-0.2962627433788369,-1.656478607100086
-0.6353051407126966,-0.06449574700626147,0.16605055670207852,0.09989542204812361,-1.312527674167649
-2.0177946669528644,-1.986737097674368,0.7649553068531417,0.4241563908804357,-1.21167727578182
-1.898185605884544,-0.713039111908971,0.08968062094117603,-0.22212758002425667,-1.3833055196317396
-0.5532419168858871,-2.0296780439290694,-0.20358169881493224,-1.1268606391728968,0.12879820276224033
-0.3632436480985366,0.12094074304866292,-1.0698690181562178,-0.9137984949378224,-1.064829560410041
0.7060749576702782,-1.034673353226748,0.7042706174325567,-1.1861736330321797,-0.6574707051105156
1.0461950839397114,-0.39402641188932924,-0.21845703880983905,-0.07694701149522236,-0.9592793142351381
4.0747050366617305e-05,-1.1067536735103576,-1.5072916998583274,-0.09909455308650308,-0.031746246173921445
3.195280436526825,-0.28348460002515136,-0.03950090569601058,0.3772342799847243,-0.6935552499614069
3.785086597762559,-1.4703377101660307,0.05499315133038209,-0.5290994674728288,0.4934415235719643
3.9467753482040315,-0.7688566272442183,-0.01156167466614228,-0.6288789008433362,0.36018419054463463
-1.956111868581628,-1.694948183013593,-1.5953603138990635,-0.5661712240195946,-0.25554699186651714
-2.5634470823635644,-3.9277268067577387,0.42868411373942894,-0.8488930048099845,-0.02025793909800099
-2.172943931292674,-2.5983689467740247,0.21825212902625782,-1.1532902239240215,-0.23248417156119136
1.4800489391258935,-0.33094091834315387,0.19044697821758036,-0.22204664944124053,-0.8300969210666056
2.779764601882383,0.6898797597005446,0.48320058084880335,0.14453105446859407,-1.4054278371460172
2.1821309030615175,-0.9901043075050633,-1.8045259495912236,1.927792995775748,0.11671837244864772
3.791165891914512,-1.6013206144760277,0.3519328565368667,-0.3381642036569573,0.42786789091101307
2.671227648704044,-1.5510026867339157,0.7779355140312818,-0.07894334319720318,-0.7034394868006681
-3.1935606849679004,-2.310688642577089,1.6616857288571363,-1.2513481505166972,-1.0952200883917622
-2.851531655321874,1.491201657795769,-2.0623336295795256,-0.1939554194659055,-1.571898431759526
-2.2812743483807694,-1.633494157494294,-0.08226157309938237,-0.36527065470195413,-0.39263464047454205
-1.1106410135128768,1.0056205774143079,-0.7684576913656868,-0.11874887288795541,-1.2125446182735196
1.1551035146485933,-1.1728994890018283,0.07785359276600608,-0.9430162312210203,-0.029636865114022286
-0.33500297957202374,0.7020020265644994,-0.25649993446417535,-0.9328255777945358,-1.0012185424470657
-0.1658911112961811,0.40528869427456987,-1.2284781249171681,1.1182679635358872,-0.987514227524231
1.3966748883803743,-0.7722472442600522,-0.4442824741235703,-0.27219264032620044,0.01884134231669595
0.8620840728726772,-1.202253005101993,0.06227576196926266,-1.441388095815401,-0.4005274785147756
0.009959504258669555,-0.39247749964177703,-0.4390567626019006,-0.5254809637221074,-0.3596269031883681
1.61736041076548,-0.7301900997851087,-0.013026713755108837,-0.9418410010046854,0.3037849400689456
-1.8561148320835854,-0.9981855897220496,-1.447605448687949,-1.4225312713247686,-0.23416621633627072
0.05267993171408189,0.5360760885547057,-1.2438491797002718,1.2112007398218763,-1.2304171939560518
-0.5491186644473361,-0.5541888176069134,-0.8037771150002196,0.5564481601061659,-0.4715733989908441
0.8731833894358487,-0.2707334851507241,0.05146669493443066,-0.326005668718536,-0.545950651781562
2.0216962290657254,-0.7866941797624936,-0.3762806905429889,-0.8032114370321131,0.6545293996670789
3.849280683310071,-0.7972195736866006,0.13589049598544797,0.21235314587466803,0.027611289220980495
2.6850896856051727,-0.6848150460089572,-0.20279189345434917,0.6065294625505311,-0.30286153332926924
-3.419379565160399,-0.8272785353782509,-0.3695639775521175,-0.23838364300252315,-0.987839358855285
-3.187113709165022,-1.6867772339090243,-1.2598886005362275,1.2284620680574623,-0.3066555918285876
-2.1170204338277605,-2.04497075373417,0.0971394202694944,-1.397681142139464,0.25539668295503926
-2.561056567446112,-0.46485572138327413,0.3783170653742798,-0.8979833086995569,-0.8887043334122456
-0.07168061605980196,1.0518274401096266,-0.11876943569666354,-0.8679872735229743,-0.7172974540517754
-0.6958452673094079,1.3105390855427095,-0.10894628058848359,-0.02378009381561373,-1.293688866070686
-0.5173994400785078,0.37987731026627036,0.6986852378874732,-0.5123945636483463,-0.9654529497450326
0.3847305868037005,0.4270943131888171,-0.11275381203907564,0.5825522131163272,-1.0148719031756708
-2.270509029996872,0.19465756163832526,-1.3112522864208895,0.6459303926690201,-1.258601007105082
2.57165072001049,-1.012543065110107,0.10726234359472557,-0.5145888019188699,0.9592423341336869
-0.504069395217536,0.21006485085813312,-0.035574925085063144,-0.4760796893191702,-0.36962758516524385
1.0351093482106868,-0.2622771192715437,-0.669842612629747,-0.2917432300329722,0.343567296523205
2.9082132764647013,-0.2919088601403861,-1.1743274112892415,2.069949901722296,-0.039693168427355485
3.7749315730120503,-0.8106513278979601,-0.2723779069180698,0.5411902597436898,0.8243618279561121
-2.2226105687880247,-1.0153482322606073,-0.5719713135255289,-1.0945110118431824,-0.2862882340334359
3.814460893249431,0.14004361900530252,-0.8041551301437325,1.7935695776926917,-0.8129020875787443
1.343896858647552,0.4215163027433872,-0.0408724068621566,-1.3711053018307493,0.1316388520992714
2.8237996586126246,0.14451602537080627,-0.7049669299843382,1.8462033833994524,-0.9130391342211058
-0.9686555356704314,1.451152687890719,-1.822440792730953,0.32813510899913934,-1.6254318923322384
-1.4246449451964036,1.2079529267780722,-0.5523622410468781,0.8079667240021117,-1.8403562986718016
2.5083294054760783,0.8804455373991055,-0.00034627498732459316,-0.4747518432001461,-0.3486065120775878
0.5140951650085277,0.13934645376990973,-0.1855992025856514,-0.19394469601061756,-0.03234082823858953
-3.0017217202584514,-1.2377893435656449,0.3663424112418329,-1.6595529254041608,0.07238209777873443
-3.1384160591213917,-1.6719013381330972,0.7652682385563468,0.8235544504974666,-0.6319243034103432
-1.840082500020618,-1.3172780428732949,-1.380611172496773,-0.9011582106591015,0.4122586668251609
-2.0916777636860266,-2.7834936220830553,-0.5954780057449586,-0.03888703525271982,1.0334855193924337
-2.2636074387127088,0.7383508445899178,-1.3942059510262446,-0.750885143006063,-0.5084871222232304
-3.3503061268607515,-0.750091584463487,-1.006820844698944,0.7760633061734448,-0.5636862643916944
0.2816660577912822,-1.6392356945556497,1.2754663931171208,-0.373898438052875,0.11526098769770553
1.2196163600267358,-0.28037237235993495,-0.13740641155838862,-0.09209797647323283,0.4572541082087016
-0.8334076735870377,0.01444419565322498,-0.38359281883018326,0.4381308324903563,-0.25549242688231094
1.4938511111117492,-0.10280000176296382,-1.8379757706565518,1.3202252013009828,-0.16391005315766785
